Time, Open, High, Low, Close, Volume
1535760000000, 281.46, 283.85, 281.34, 283.32, 3457.89473
1535761800000, 283.31, 284.8, 282.99, 284.19, 3738.85614
1535763600000, 284.22, 285.34, 283.7, 283.76, 4614.84837
1535765400000, 283.83, 284.42, 283.3, 283.69, 3130.84961
1535767200000, 283.69, 285.02, 283.61, 284.84, 3590.20625
1535769000000, 284.88, 285.68, 284.62, 284.81, 2671.88418
1535770800000, 284.83, 288.18, 284.7, 287.27, 7145.42596
1535772600000, 287.29, 289.19, 287.26, 288.43, 7760.97559
1535774400000, 288.43, 289.23, 285.81, 285.89, 4275.71332
1535776200000, 285.84, 286.79, 285.8, 286.74, 2610.26853
1535778000000, 286.73, 286.91, 284.67, 285.15, 5875.30572
1535779800000, 285.12, 286.27, 284.04, 286.19, 3307.93056
1535781600000, 286.14, 286.29, 285.48, 285.82, 6047.83682
1535783400000, 285.87, 287.83, 285.49, 287.13, 5895.11401
1535785200000, 287.24, 287.77, 286.66, 286.86, 4403.12913
1535787000000, 286.91, 287.42, 286.51, 286.54, 4294.97332
1535788800000, 286.6, 287.0, 286.29, 286.55, 1912.91503
1535790600000, 286.6, 287.47, 286.46, 287.13, 2027.63201
1535792400000, 287.14, 288.67, 286.76, 287.91, 6116.5886
1535794200000, 287.9, 288.38, 286.8, 287.1, 3105.23406
1535796000000, 287.05, 288.0, 286.86, 287.66, 4014.19451
1535797800000, 287.58, 288.49, 287.27, 288.28, 6500.53738
1535799600000, 288.29, 289.69, 287.19, 287.84, 5336.23899
1535801400000, 287.84, 287.93, 286.23, 286.39, 4983.47748
1535803200000, 286.39, 286.46, 284.28, 285.58, 6731.24052
1535805000000, 285.64, 286.19, 284.6, 284.86, 5734.12947
1535806800000, 284.89, 285.46, 284.38, 285.15, 5691.94679
1535808600000, 285.14, 286.03, 285.0, 286.0, 4713.08987
1535810400000, 286.03, 286.71, 285.27, 286.25, 4749.92792
1535812200000, 286.25, 295.75, 285.78, 294.05, 20658.3326
1535814000000, 294.08, 298.0, 294.04, 296.98, 22021.81613
1535815800000, 296.9, 298.15, 295.21, 295.54, 9930.98293
1535817600000, 295.55, 299.55, 295.54, 299.12, 10301.97379
1535819400000, 299.11, 299.38, 296.02, 296.4, 7140.8534
1535821200000, 296.53, 297.94, 294.85, 297.11, 12762.64099
1535823000000, 297.1, 298.24, 296.85, 297.5, 9754.12123
1535824800000, 297.5, 298.41, 296.8, 297.66, 7076.28831
1535826600000, 297.73, 298.47, 297.54, 298.32, 10639.47278
1535828400000, 298.26, 300.48, 297.86, 299.77, 11488.68302
1535830200000, 299.74, 302.0, 299.7, 301.46, 13033.92137
1535832000000, 301.44, 301.64, 297.11, 298.25, 8213.96709
1535833800000, 298.26, 299.49, 297.32, 297.89, 2492.13506
1535835600000, 297.88, 299.0, 297.38, 297.57, 1820.82254
1535837400000, 297.5, 298.78, 296.74, 297.21, 2017.30147
1535839200000, 297.19, 297.32, 294.0, 295.9, 2965.33474
1535841000000, 295.9, 296.99, 295.06, 295.28, 2007.45605
1535842800000, 295.43, 295.88, 294.83, 295.32, 3760.51899
1535844600000, 295.39, 296.46, 295.08, 295.71, 2419.45274
1535846400000, 295.8, 295.83, 295.0, 295.15, 1831.46021
1535848200000, 295.01, 295.1, 291.24, 293.39, 5495.78105
1535850000000, 293.19, 293.62, 292.0, 292.22, 3628.01336
1535851800000, 292.21, 292.29, 290.96, 292.01, 3184.38911
1535853600000, 292.08, 293.45, 291.51, 293.18, 1883.28763
1535855400000, 293.18, 294.9, 292.63, 294.74, 2221.42145
1535857200000, 294.74, 296.28, 293.98, 295.89, 2741.22388
1535859000000, 295.91, 298.29, 295.41, 296.56, 4087.65438
1535860800000, 296.56, 298.84, 295.68, 298.5, 3900.33964
1535862600000, 298.5, 298.8, 296.07, 296.41, 3210.50547
1535864400000, 296.4, 297.01, 295.71, 296.52, 2308.61041
1535866200000, 296.64, 298.2, 296.08, 297.64, 1722.54978
1535868000000, 297.56, 298.42, 296.36, 296.67, 3154.75544
1535869800000, 296.67, 297.05, 295.5, 296.45, 2310.29179
1535871600000, 296.45, 297.75, 296.34, 296.72, 1882.13679
1535873400000, 296.89, 298.0, 296.0, 296.82, 2968.37162
1535875200000, 296.84, 298.99, 296.63, 298.64, 4968.46884
1535877000000, 298.68, 298.94, 296.75, 297.91, 6257.65942
1535878800000, 297.89, 299.33, 296.79, 297.98, 5863.47678
1535880600000, 297.98, 298.2, 293.57, 295.85, 8085.27851
1535882400000, 295.97, 297.22, 292.94, 293.5, 4730.7942
1535884200000, 293.5, 294.64, 292.52, 293.81, 3215.52623
1535886000000, 293.81, 294.86, 292.66, 293.24, 3745.1705
1535887800000, 293.24, 293.29, 289.1, 290.56, 9094.32706
1535889600000, 290.59, 293.68, 290.27, 292.88, 3500.82171
1535891400000, 292.84, 293.21, 291.96, 292.96, 1957.20727
1535893200000, 293.1, 293.1, 290.0, 290.37, 4282.25389
1535895000000, 290.37, 292.12, 288.87, 289.57, 5203.70098
1535896800000, 289.56, 292.42, 289.32, 291.83, 2647.64708
1535898600000, 291.89, 292.63, 290.85, 292.25, 2364.549
1535900400000, 292.39, 293.2, 291.79, 291.82, 2346.35918
1535902200000, 291.82, 292.47, 290.47, 291.51, 1934.71935
1535904000000, 291.51, 294.31, 290.24, 294.29, 2775.82568
1535905800000, 294.29, 295.65, 293.9, 295.1, 5033.84835
1535907600000, 295.1, 296.95, 294.72, 294.93, 2735.26168
1535909400000, 294.95, 297.0, 294.71, 295.73, 2942.63739
1535911200000, 295.84, 296.44, 293.5, 294.3, 4179.78866
1535913000000, 294.22, 296.36, 294.06, 295.5, 2002.86124
1535914800000, 295.5, 296.67, 294.87, 295.33, 2949.22769
1535916600000, 295.33, 295.49, 293.42, 294.35, 2122.14976
1535918400000, 294.2, 294.28, 291.93, 292.68, 1909.49563
1535920200000, 292.67, 294.71, 292.1, 293.6, 1195.58685
1535922000000, 293.6, 294.71, 293.55, 294.66, 1291.79474
1535923800000, 294.6, 294.94, 293.34, 293.8, 558.75332
1535925600000, 293.85, 294.22, 292.2, 294.21, 1350.29104
1535927400000, 294.35, 294.37, 292.35, 292.96, 1770.23551
1535929200000, 293.0, 293.9, 292.63, 293.79, 1320.9973
1535931000000, 293.79, 296.0, 293.09, 295.41, 2432.55427
